,Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class,Amount_Log
Time,1.0,0.11739630597838789,-0.010593327121342788,-0.41961817221152137,-0.1052602054457292,0.1730721233103911,-0.06301647037315108,0.08471437480498875,-0.03694943469000893,-0.008660433697684605,0.030616628592319686,-0.24768943748667419,0.12434806837193216,-0.06590202369761909,-0.09875681920622491,-0.18345327348103557,0.011902867722434273,-0.07329721331779822,0.09043813254861119,0.028975302561134116,-0.05086601846835266,0.04473572628908045,0.14405905486145879,0.05114236494177282,-0.016181868459307136,-0.23308279059831072,-0.04140710060605856,-0.0051345911239974755,-0.009412688179052135,-0.010596373389030208,-0.012322570929245588,-0.02851532202928451
V1,0.11739630597838789,1.0,4.1358354564892754e-16,-1.2278194121819788e-15,-9.215150243899318e-16,1.8126116695596912e-17,-6.506566620719457e-16,-1.005191388479541e-15,-2.433821872330018e-16,-1.5136779944803127e-16,7.388134717351061e-17,2.1254983311063253e-16,2.0534566920177348e-16,-2.4256031737394643e-17,-5.020280380415147e-16,3.5477819410318954e-16,7.212815001934148e-17,-3.87983961824813e-16,3.230205740239066e-17,1.5020239355025085e-16,4.654551139305108e-16,-2.4574089417386587e-16,-4.2909438718268266e-16,6.168652436530227e-16,-4.4251562937334496e-17,-9.605737402666084e-16,-1.5812895377398922e-17,1.1981236332134924e-16,2.0830815396728918e-15,-0.22770865292240447,-0.10134729859508294,-0.09637528805175613
V2,-0.010593327121342788,4.1358354564892754e-16,1.0,3.2437637564730876e-16,-1.1210645517879283e-15,5.157519226850325e-16,2.787345616249733e-16,2.0559335979979422e-16,-5.377040798099404e-17,1.9784883982576268e-17,-3.9913938358309816e-16,1.9754261716388057e-16,-9.568709787237782e-17,6.295388359367237e-16,-1.7305655729049333e-16,-4.995813738381819e-17,1.1773156245287562e-17,-2.6852960349785897e-16,3.2846050560664826e-16,-7.118719066768033e-18,2.50667497634529e-16,-8.480446676665688e-17,1.5263331954819332e-16,1.6342312638331767e-16,1.2479254148791624e-17,-4.478845863905263e-16,2.0573095296611221e-16,-4.966952901962228e-16,-5.093835621862943e-16,-0.5314089393280346,0.0912886503446179,-0.45031661333145157
V3,-0.41961817221152137,-1.2278194121819788e-15,3.2437637564730876e-16,1.0,4.711292683654366e-16,-6.539008510650542e-17,1.627626540252481e-15,4.895304621446415e-16,-1.268778573826182e-15,5.568366908598342e-16,1.1565865750566837e-15,1.5768296423313399e-15,6.310231445379778e-16,2.807651947490283e-16,4.739859022371114e-16,9.068793155133045e-16,8.299444784584843e-16,7.614711699539666e-16,1.5098965169385715e-16,3.463522445596662e-16,-9.316408952450645e-16,5.706192013553349e-17,-1.1339017399048806e-15,-4.983034749508378e-16,2.686833641516197e-19,-1.1047337449307866e-15,-1.2380624286864503e-16,1.0457467776682414e-15,9.775546470754552e-16,-0.2108804752899098,-0.19296082706741602,-0.033913028522938385
V4,-0.1052602054457292,-9.215150243899318e-16,-1.1210645517879283e-15,4.711292683654366e-16,1.0,-1.7199442557407963e-15,-7.491958618234819e-16,-4.104502892359598e-16,5.697192192200434e-16,6.92324681822723e-16,2.232684984042872e-16,3.459380257636673e-16,-5.625517514717779e-16,1.3033060401606038e-16,2.282279888410829e-16,1.3776486407170148e-16,-9.614528436638084e-16,-2.699612312806123e-16,-5.103644326568441e-16,-3.9805573017882795e-16,-1.8572469274698646e-16,-1.9495531570649426e-16,-6.276051371170312e-17,9.164206002886586e-17,1.5846375199907873e-16,6.0707156393623205e-16,-4.247267766169872e-16,3.977060870415758e-17,-2.7614028067346953e-18,0.09873166631356645,0.13344748623900718,-0.004677013052837257
V5,0.1730721233103911,1.8126116695596912e-17,5.157519226850325e-16,-6.539008510650542e-17,-1.7199442557407963e-15,1.0,2.408382066295025e-16,2.7155407001970747e-16,7.437229396632891e-16,7.391701641490924e-16,-5.202305881659873e-16,7.203963319401883e-16,7.412552025077167e-16,5.88699112533171e-16,6.56514268095602e-16,-8.720275105769596e-16,2.246261396202371e-15,1.2819137171547366e-16,5.308589701106476e-16,-1.4504208046983195e-16,-3.5540572101531124e-16,-3.9209757534272204e-16,1.2537514849245887e-16,-8.428682666724684e-18,-1.1492545365112402e-15,4.808531869137339e-16,4.3195414687166863e-16,6.590482071768851e-16,-5.6139507078607e-18,-0.38635625616306496,-0.09497429899144802,-0.286188947845546
V6,-0.06301647037315108,-6.506566620719457e-16,2.787345616249733e-16,1.627626540252481e-15,-7.491958618234819e-16,2.408382066295025e-16,1.0,1.191667589072508e-16,-1.1042189042385735e-16,4.1312074945098704e-16,5.932243209613179e-17,1.9805032684309883e-15,2.3754678641019686e-16,-1.2111822796008627e-16,2.6213119453640026e-16,-1.531187930589043e-15,2.62367236701838e-18,2.0156175061319107e-16,1.2238142286241463e-16,-1.865597144392931e-16,-1.8587549872133942e-16,5.83331648964142e-17,-4.705234695674811e-19,1.0467124490962339e-16,-1.0715891491067084e-15,4.562860891491776e-16,-1.3570673248129112e-16,-4.452461023430561e-16,2.5947542005622326e-16,0.2159811802252743,-0.04364316069996494,0.1638222427108802
V7,0.08471437480498875,-1.005191388479541e-15,2.0559335979979422e-16,4.895304621446415e-16,-4.104502892359598e-16,2.7155407001970747e-16,1.191667589072508e-16,1.0,3.344411790071421e-16,1.1225014439079958e-15,-7.492833952152939e-17,1.425247524346415e-16,-3.536654890142397e-18,1.2664616801613498e-17,2.6077718132499896e-16,-1.6905404766329277e-16,5.869302352475609e-17,2.1771917897320863e-16,7.604126146267294e-17,-1.8810082655751772e-16,9.379683965116646e-16,-2.027779286852274e-16,-8.898921641367619e-16,-4.3874007839257624e-16,7.434913059745356e-18,-3.094081780632013e-16,-9.6576365370981e-16,-1.782105558577791e-15,-2.7765300125288505e-16,0.39731127818168616,-0.18725659151430013,0.09575759053673163
V8,-0.03694943469000893,-2.433821872330018e-16,-5.377040798099404e-17,-1.268778573826182e-15,5.697192192200434e-16,7.437229396632891e-16,-1.1042189042385735e-16,3.344411790071421e-16,1.0,4.3560780107095135e-16,-2.8013697927814445e-16,2.4870425457504684e-16,1.8398909286248454e-16,-2.9218563607763307e-16,-8.599156012879489e-16,4.127776868168695e-16,-5.254741203520614e-16,-2.2695491182086025e-16,-3.6679744894621306e-16,-3.8751862861351176e-16,2.0337373844141382e-16,3.892797882576912e-16,2.026927304278977e-16,6.377260397492483e-17,-1.0470966864794954e-16,-4.653279299017573e-16,-1.7272763062777551e-16,1.2999428307434422e-16,-6.200929902923697e-16,-0.10307909564498216,0.019875123914794384,-0.020689873799771153
V9,-0.008660433697684605,-1.5136779944803127e-16,1.9784883982576268e-17,5.568366908598342e-16,6.92324681822723e-16,7.391701641490924e-16,4.1312074945098704e-16,1.1225014439079958e-15,4.3560780107095135e-16,1.0,-4.642273732835462e-16,1.354679871690734e-16,-1.0793141135786758e-15,2.25107172875499e-15,3.784757449242497e-15,-1.0511668941135748e-15,-1.2140863766816202e-15,1.1136947155757017e-15,4.993240413816944e-16,-1.3761346879436734e-16,-2.3437201255055754e-16,1.9369527624153884e-16,-7.071869168133064e-16,-5.214137433230766e-16,-1.4303433360827164e-16,6.757763488818423e-16,-7.888852631707746e-16,-6.709655453239168e-17,1.1105414147536788e-15,-0.044245601964446046,-0.0977326860740807,-0.0804982406226172
V10,0.030616628592319686,7.388134717351061e-17,-3.9913938358309816e-16,1.1565865750566837e-15,2.232684984042872e-16,-5.202305881659873e-16,5.932243209613179e-17,-7.492833952152939e-17,-2.8013697927814445e-16,-4.642273732835462e-16,1.0,-4.622103201113089e-16,1.7718690256134556e-15,-5.41846042363259e-16,2.635935707413199e-16,5.786331888867675e-16,3.5454495198324955e-16,1.5429548968530055e-15,3.9024229309672283e-16,3.437632550965993e-17,-1.3315562020888575e-15,1.177546680203721e-15,-6.418201898812593e-16,3.2144914548249394e-16,-1.3558851667401352e-16,-2.8460524613966964e-16,-3.028119044190825e-16,-2.1979766088647894e-16,4.864782115587085e-17,-0.10150214079143287,-0.21688294364103206,-0.009620577393870159
V11,-0.24768943748667419,2.1254983311063253e-16,1.9754261716388057e-16,1.5768296423313399e-15,3.459380257636673e-16,7.203963319401883e-16,1.9805032684309883e-15,1.425247524346415e-16,2.4870425457504684e-16,1.354679871690734e-16,-4.622103201113089e-16,1.0,6.370788814620535e-16,1.9583765492499135e-16,2.700918120522286e-16,1.33232289054777e-15,5.840590486423018e-16,7.151184677340279e-16,1.4409133966272747e-16,-7.389747856226886e-16,-1.4812986481925614e-16,-5.658364095024855e-16,7.772895273742887e-16,-4.50533169539145e-16,1.9332673743056163e-15,-5.600474870340768e-16,-1.0032214647448814e-16,-2.6402807036751134e-16,-3.7923136685329124e-16,0.00010397702176455398,0.15487564474394433,-0.049182392225437674
V12,0.12434806837193216,2.0534566920177348e-16,-9.568709787237782e-17,6.310231445379778e-16,-5.625517514717779e-16,7.412552025077167e-16,2.3754678641019686e-16,-3.536654890142397e-18,1.8398909286248454e-16,-1.0793141135786758e-15,1.7718690256134556e-15,6.370788814620535e-16,1.0,-2.321486470875369e-14,2.770713709609466e-17,-1.3604164848978839e-15,5.335133837880831e-16,5.648453498612154e-16,3.0362933537772255e-17,1.4695566932489226e-16,3.4302823082768627e-16,7.300526505643876e-16,1.6446989102745604e-16,1.8008849567119045e-16,4.436512313010862e-16,-5.712973328249079e-16,-2.3599688285863116e-16,-4.672390666543685e-16,6.415167377154613e-16,-0.009541802153205721,-0.26059292487722485,-0.01892986775794061
V13,-0.06590202369761909,-2.4256031737394643e-17,6.295388359367237e-16,2.807651947490283e-16,1.3033060401606038e-16,5.88699112533171e-16,-1.2111822796008627e-16,1.2664616801613498e-17,-2.9218563607763307e-16,2.25107172875499e-15,-5.41846042363259e-16,1.9583765492499135e-16,-2.321486470875369e-14,1.0,2.1619667447619242e-15,1.3881430727848171e-16,6.044196816561422e-16,7.58443618897532e-17,4.157329569868424e-16,-1.861400225975483e-16,5.623856068616621e-18,1.0084610412063391e-16,6.747721388834886e-17,-7.132063821134473e-16,-1.3974698480577809e-16,-5.4976118194831325e-16,-1.7692551719944352e-16,-4.720898350671909e-16,1.1443723212653693e-15,0.005293409030421471,-0.004569778799461309,-0.0026599184022252174
V14,-0.09875681920622491,-5.020280380415147e-16,-1.7305655729049333e-16,4.739859022371114e-16,2.282279888410829e-16,6.56514268095602e-16,2.6213119453640026e-16,2.6077718132499896e-16,-8.599156012879489e-16,3.784757449242497e-15,2.635935707413199e-16,2.700918120522286e-16,2.770713709609466e-17,2.1619667447619242e-15,1.0,-3.808117677028143e-17,-1.4398579669506511e-15,1.1625292244039494e-15,1.6423778676319633e-15,1.9770204722750855e-16,-1.1813415810258678e-17,-3.356561456685497e-16,3.7403829306912934e-16,3.8832038551662737e-16,2.0034820594137143e-16,-8.547932209845472e-16,-1.6603270649022016e-16,1.0442741526232177e-16,2.289426763919487e-15,0.03375117176310099,-0.3025436958044028,0.02412014625520672
V15,-0.18345327348103557,3.5477819410318954e-16,-4.995813738381819e-17,9.068793155133045e-16,1.3776486407170148e-16,-8.720275105769596e-16,-1.531187930589043e-15,-1.6905404766329277e-16,4.127776868168695e-16,-1.0511668941135748e-15,5.786331888867675e-16,1.33232289054777e-15,-1.3604164848978839e-15,1.3881430727848171e-16,-3.808117677028143e-17,1.0,1.3323897310013163e-15,6.647712204946155e-16,3.475831683906772e-16,-1.483184738613011e-15,4.3000855225009244e-16,6.605262611180825e-17,-4.208920909942288e-16,-3.912242622329936e-16,-4.478262594798636e-16,3.206422537749195e-16,2.8177912755469397e-16,-1.143519016628987e-15,-1.1941296558075896e-15,-0.002985848124560203,-0.004223402267856675,-0.06626959935276552
V16,0.011902867722434273,7.212815001934148e-17,1.1773156245287562e-17,8.299444784584843e-16,-9.614528436638084e-16,2.246261396202371e-15,2.62367236701838e-18,5.869302352475609e-17,-5.254741203520614e-16,-1.2140863766816202e-15,3.5454495198324955e-16,5.840590486423018e-16,5.335133837880831e-16,6.044196816561422e-16,-1.4398579669506511e-15,1.3323897310013163e-15,1.0,2.4824133407817586e-15,-2.4209151101527034e-15,1.3072408226766222e-15,5.176563991109766e-16,-4.715089809650195e-16,-7.923386632671353e-17,5.020770392579101e-16,-3.005984585691083e-16,-1.3454182802830804e-15,-7.290009860413427e-16,6.789513022251935e-16,7.588849292409198e-16,-0.00390952671356023,-0.19653894030401736,-0.09929519164170766
V17,-0.07329721331779822,-3.87983961824813e-16,-2.6852960349785897e-16,7.614711699539666e-16,-2.699612312806123e-16,1.2819137171547366e-16,2.0156175061319107e-16,2.1771917897320863e-16,-2.2695491182086025e-16,1.1136947155757017e-15,1.5429548968530055e-15,7.151184677340279e-16,5.648453498612154e-16,7.58443618897532e-17,1.1625292244039494e-15,6.647712204946155e-16,2.4824133407817586e-15,1.0,-4.894900789370085e-15,-3.883099234888021e-16,-1.3903082185168376e-15,-8.230527090790586e-16,-8.743398013835714e-16,3.706214006042251e-16,-2.4038276613810414e-16,2.666806350880763e-16,6.932833169370984e-16,6.148525149662035e-16,-5.5345396559478415e-17,0.007309042077000943,-0.32648106724371595,0.017123430485914887
V18,0.09043813254861119,3.230205740239066e-17,3.2846050560664826e-16,1.5098965169385715e-16,-5.103644326568441e-16,5.308589701106476e-16,1.2238142286241463e-16,7.604126146267294e-17,-3.6679744894621306e-16,4.993240413816944e-16,3.9024229309672283e-16,1.4409133966272747e-16,3.0362933537772255e-17,4.157329569868424e-16,1.6423778676319633e-15,3.475831683906772e-16,-2.4209151101527034e-15,-4.894900789370085e-15,1.0,-2.499137803305714e-15,-3.7113023021587404e-16,-9.408679913179306e-16,-4.819364879908379e-16,-1.9120062578048154e-16,-8.986915787227416e-17,-6.629212319357846e-17,2.990167114552731e-16,2.242790892503769e-16,7.976796011923423e-16,0.03565034071999803,-0.11148525388904133,0.04291601990109127
